claim_id,statement,scope,claim_status,source_id,source_location,relation,evidence_grade,limitation,reviewer,review_date
CLM-24,worst-case 조건(소표본 n=5·분산큼 sd=3 vs 대표본 n=15·분산작음 sd=1)에서 Student's t-test의 경험적 1종오류율은 22.3%로 명목 5%의 약 4.5배까지 부풀려지며 Welch's t-test는 5.6%로 명목값에 근접해 CLM-22(Welch 기본값화 권고)를 정량적으로 뒷받침한다,Analysis Navigator 로직 개선안(헌장목표 G2) — 시뮬레이션 정량검증,supported(시뮬레이션),SRC-130,navigator_risk_simulation_results.json Scenario A,supports,medium(합성데이터 20000회 반복·seed고정·재현가능),합성 정규분포 데이터이며 실제 CTQ 데이터의 실제 표본수·분산비는 미확인; 배치(n=5/15, sd=3/1)는 예시적 worst-case이지 실측값 아님,Claude(Cowork) — self-reviewed,2026-09-09
CLM-25,3그룹 비교(실제 평균차이 없음)에서 반복 pairwise t-test(3회)의 familywise 1종오류율은 12.5%로 명목 5%의 약 2.5배인 반면 단일 ANOVA는 5.0%로 명목값을 유지해 위험5(다중비교 미보정)를 정량적으로 뒷받침한다,Analysis Navigator 로직 개선안(헌장목표 G2) — 시뮬레이션 정량검증,supported(시뮬레이션),SRC-130,navigator_risk_simulation_results.json Scenario C,supports,medium(합성데이터·재현가능),합성 정규분포·그룹당 n=10 고정 조건; 실제 CTQ 데이터의 그룹 수·표본수 조합에 따라 인플레이션 정도는 달라질 수 있음,Claude(Cowork) — self-reviewed,2026-09-09
CLM-26,동일 AR(1) 공정을 전/후반부로 나눠 비교할 때(실제 차이 없음) 자기상관 강도(rho)가 0→0.9로 커지면 1종오류율이 4.7%→63.8%까지 급증해 신규위험7(독립성/자기상관 미확인)이 이론적 우려를 넘어 실질적으로 가장 심각한 위험일 수 있음을 정량적으로 뒷받침한다,Analysis Navigator 로직 개선안(헌장목표 G2) — 시뮬레이션 정량검증,supported(시뮬레이션),SRC-130,navigator_risk_simulation_results.json Scenario D,supports,medium(합성데이터·재현가능),합성 AR(1) 시계열이며 실제 CTQ 데이터의 실제 자기상관 강도(rho)는 미확인 — rho=0.9는 예시적 고강도 시나리오; 4개 시뮬레이션 중 가장 큰 효과크기이므로 P3 실데이터 확보 시 최우선 실측 대상으로 제안,Claude(Cowork) — self-reviewed,2026-09-09
CLM-28,기획서 §34(Phase1)에는 t-test·ANOVA 등 검정 도구는 있으나 정규성 검정(Shapiro-Wilk 등)·등분산 검정(Levene's 등)은 §35(Phase2)로 분류되어 있어 Phase1 범위 설계 자체가 가정 확인 기능을 포함하지 않는다,MVP 범위 재검토(RQ-07) — Navigator 위험1(순서역전)보다 근본적인 구조적 공백,supported(설계문서 1차자료),SRC-000,기획서 §34-35 원문 대조,contradicts,high(원문 직접 대조·해석의 여지 낮음),기획서 원문 자체에 근거하므로 사실관계는 명확하나 '이것이 문제다'라는 평가는 Claude의 판단([추론]); Phase1 범위는 의도된 단계적 축소일 수 있음,Claude(Cowork) — self-reviewed,2026-09-10
CLM-29,MSA(Gauge R&R)가 Phase1·Phase2 어디에도 없어(CASE-004 대조 결과) Phase1의 모든 CTQ 비교·검정이 측정시스템 신뢰성을 확인하지 않은 채 이루어지는 구조적 공백이 있으며 이는 spc-profile.md의 V0(측정시스템) 변동위계 원칙과 직접 충돌한다,MVP 범위 재검토(RQ-07),supported(설계문서 대조+SPC 방법론 문서),SRC-000;SRC-201,기획서 §34-36 원문 대조; spc-profile.md 변동위계,contradicts,high,기획서에 MSA 관련 언급이 전혀 없다는 부재(不在) 확인이므로 반증하기 쉬운 종류의 claim; CASE-001에서 측정 근거가 육안 수준이었다는 1건의 정성적 일치만 있음,Claude(Cowork) — self-reviewed,2026-09-10
CLM-30,Minitab Assistant·QI Macros Stats Wizard 등 실제 배포된 통계 소프트웨어는 AI 없이도 결정트리 기반 검정선택과 Report Card(자동 가정확인·이상치·표본수 경고)를 결합한 가이드형 분석을 상용 제품으로 제공하고 있다,PRISM Add-on 설계(헌장목표 G5·G9) — AI 미탑재 실현가능성 근거,supported(벤더 자료),SRC-131;SRC-132,벤더 제품페이지 직접 확인,supports,medium(벤더 자료로 독립검증 아님; 내부 알고리즘 상세는 비공개),벤더 마케팅 자료 특성상 과장 가능성 있음; 두 도구 모두 정규성·등분산을 검정선택 전에 자동 확인하는지는 명시적으로 확인되지 않음,Claude(Cowork),2026-09-10
CLM-31,QI Macros Stats Wizard는 기술통계→적합한 검정을 자동 연계 실행하고 결과를 해석까지 제공하는 '연계 패키지' 방식을 이미 상용화했다 — 이는 본 연구가 제안하는 '분석 패키지'(G9) 개념의 실재하는 선례다,PRISM Add-on 분석 패키지 설계(헌장목표 G9),supported(벤더 자료),SRC-132,벤더 페이지 직접 확인('기술통계 후 적합한 검정 자동실행 및 해석 제공' 기술),supports,medium(벤더 자료),패키지의 세부 분기 로직(정규성 위반 시 처리 등)은 공개되지 않아 참고 수준으로만 활용 가능,Claude(Cowork),2026-09-10
CLM-32,구조화된 수치 결과를 규칙 기반으로 분류(정상/이상 범위 판정 등)한 뒤 슬롯 채우기 방식의 언어 템플릿으로 해석문을 생성하는 방식은 AI 없이도 높은 이해도(96.5%)·자연스러움(97.5%) 평가를 받은 실증 사례가 있다(의료 수치해석 도메인),PRISM Add-on 해석 라이브러리 설계(헌장목표 G5) — 결정론적 해석 방식의 타당성 근거,supported(동료심사 학술자료),SRC-133,IAENG 논문 본문(이해도 96.5%, 자연스러움 97.5% 수치),supports,high,의료 수치해석 도메인 사례로 제조 통계 해석 도메인과 다름; 템플릿 커버리지 밖의 예외 상황 처리 방법은 이 연구에서 상세히 다루지 않음,Claude(Cowork),2026-09-10
CLM-27,우측왜도(지수분포) 데이터에서도 n=5부터 t-test 1종오류율이 4.06%~5.12% 범위로 명목 5% 근처에 머물러 CLT의 견고성(놓쳤던 점1)이 이 특정 조건에서는 시뮬레이션으로 확인된다,Analysis Navigator 로직 개선안(헌장목표 G2) — 시뮬레이션 정량검증,supported(시뮬레이션),SRC-130,navigator_risk_simulation_results.json Scenario B,supports,medium(합성데이터·재현가능),지수분포 1개 왜도수준만 시험; 실제 CTQ 데이터가 더 심하게 왜곡되거나 이봉형(bimodal)일 경우 결과가 달라질 수 있어 '정규성 위반은 항상 안전하다'는 일반화는 금지,Claude(Cowork) — self-reviewed,2026-09-09
CLM-33,AIAG 기반 실무기준상 %GRR<10%는 양호·10~30%는 조건부 허용·>30%는 불량이며 NDC(구별범주수)는 5 이상이어야 한다는 판정기준이 업계에서 널리 통용된다,MSA 패키지 Step3 결정표 근거(CASE-004),supported(3차 실무자료),SRC-134,CalibrationOS Gage R&R 절차 문서,supports,medium(AIAG 원문 직접 인용 아닌 해설자료; 산업/고객사별 변형 기준 존재 가능),AIAG MSA 매뉴얼 원문을 직접 확인한 것이 아니라 실무 해설 사이트를 인용 — 원문 대조는 후속 과제,Claude(Cowork),2026-09-10
CLM-34,Pareto 차트는 발생빈도 기준으로 소수의 지배적 원인('vital few')에 우선순위를 부여하는 표준 기법이나 원문(SRC-135)은 가설검정과의 결합을 명시적으로 다루지 않는다 — 후보원인별 통계적 유의성(t/ANOVA·상관)과 효과크기를 결합해 우선순위화하는 방식은 이 연구의 설계 확장([추론])이다,원인분석 패키지 Step5 우선순위화 로직(CASE-005),hypothesis(설계확장),SRC-135,Ease.io Pareto 근본원인분석 절차,contextual,medium(원문은 순수 빈도기반 Pareto만 다룸; 통계검정 결합은 원문에 없는 Claude의 설계 제안),이 결합 방식 자체가 검증된 표준기법이 아니라 Claude(Cowork)의 설계적 제안이므로 '업계 표준 방법'이라는 과잉해석 금지,Claude(Cowork) — self-reviewed,2026-09-10
CLM-35,Western Electric Rules 4종(1점 관리한계초과/연속3점중2점 2시그마 밖 동일방향/연속5점중4점 1시그마 밖 동일방향/8점연속 중심선 한쪽)은 급격한 이상값과 완만한 공정 드리프트를 구분해 탐지하는 표준화된 관리도 판정규칙으로 널리 사용된다,유지관리 패키지 Step2 이상감지 로직(CASE-008),supported(업계표준),SRC-136,QI Macros Western Electric Rules 문서,supports,medium(벤더 사이트 인용이나 규칙 자체는 업계 공통표준),Nelson's Rules 등 확장판도 존재하며 본 연구는 가장 널리 인용되는 4종 기본규칙만 채택,Claude(Cowork),2026-09-10
CLM-36,다중회귀에서 p<0.05를 유의 기준으로, 표준화계수 크기를 영향력 순위로, VIF>5를 다중공선성 경고 기준으로 사용하는 것은 실무에서 통용되는 휴리스틱이다,핵심요인분석 패키지 Step2~4 결정로직(CASE-006),supported(실무가이드),SRC-137,Learn Lean Sigma 다중회귀 가이드,supports,medium(학술적으로 보수적 임계값은 아니며 분야별 관행 차이 존재),p<0.05·VIF>5는 실무 휴리스틱이지 절대기준이 아님 — 표본수가 작을 때는 더 엄격한 기준 검토 필요,Claude(Cowork),2026-09-10
CLM-37,KNIME·Alteryx 등 실배포 분석 플랫폼은 재사용 가능한 개별 노드(기능단위)를 시각적으로 연결(체이닝)해 전체 분석 워크플로우를 구성하는 아키텍처를 이미 상용화하고 있으며, 이 조합 자체에는 AI가 필요하지 않다,모듈 라이브러리+조합규칙 설계(헌장목표 G9 재보강) — 무AI 조합 아키텍처 실현가능성 근거,supported(벤더 비교자료),SRC-138,KNIME 공식 비교페이지,supports,medium(벤더 자료; 두 도구 모두 저장데이터과학/일반분석 플랫폼으로 제조 통계 도메인 특화 사례는 아님),벤더 자료 특성상 과장 가능성; 제조 통계분석 패키지 조합과 KNIME의 범용 ETL/ML 노드 조합은 도메인이 다르나 '재사용 노드 체이닝'이라는 아키텍처 원리 자체는 전이 가능,Claude(Cowork),2026-09-10
CLM-38,독립적으로 개발·최적화된 원자적(atomic) 분석 블록을 필요에 따라 재조합(mix-and-match)하는 조립형(composable) 아키텍처는 민첩성(빠른 워크플로우 변경)·속도(신속한 조립)·확장성(점진적 역량 확장)의 이점을 제공한다고 실무 문헌에서 보고된다,모듈 라이브러리+조합규칙 설계(헌장목표 G9 재보강) — 모듈화 이점의 일반 원칙 근거,supported(실무문헌),SRC-139,Dev3lop 조립형 데이터분석 아티클,supports,medium(일반 데이터분석 아키텍처 원칙이며 제조 통계 도메인 특이적 검증은 아님),일반론적 아키텍처 이점 서술이며 본 연구의 구체적 모듈 카탈로그가 동일한 이점을 실제로 달성하는지는 별도 검증 필요,Claude(Cowork),2026-09-10
CLM-39,산업 통계 사례집(Czitrom & Spagon, SIAM)은 반도체 등 실제 제조현장 문제해결이 측정시스템분석(Gauge R&R)→DOE→SPC→설비신뢰성→개선을 하나의 프로젝트로 연계하는 흐름임을 독립적으로 보여주며, 이는 '분석 패키지'(여러 통계기법의 연속 연계) 설계 원칙을 소프트웨어 아키텍처(CLM-37/38)가 아닌 통계학 도메인 콘텐츠 관점에서 뒷받침하는 근거다,분석 패키지 설계(헌장목표 G9) — 도메인 콘텐츠 관점의 독립적 근거,supported(서지사항 검증, 목차상세는 Ian 제공 2차자료),SRC-140,Ian이 제공한 도서 추천 요약 + Claude의 서지사항 재검증(WebSearch),supports,medium(서지사항은 독립확인했으나 챕터별 상세 내용은 Claude가 직접 열람하지 않아 사용자 제공 요약에 의존),반도체 중심 사례로 가전 조립현장과의 직접 적합성은 별도 확인 필요; DOE·설비신뢰성은 현재 헌장의 비목표(Phase2/3)에 해당하므로 이 근거가 즉시 범위 확장을 의미하지는 않음,Claude(Cowork),2026-09-10
CLM-40,품질개선 실무서(Ryan, Wiley)는 관리도·공정능력·가설검정·회귀·DOE·Taguchi를 하나의 통합 툴킷으로 다루며, 이는 현재 모듈 카탈로그가 포함하지 않는 DOE·Taguchi가 산업표준 문헌에서 자연스러운 확장 영역으로 인정됨을 시사한다,모듈 카탈로그 향후 확장범위 참고(범위 결정은 Ian),hypothesis(향후 확장 후보 근거),SRC-141,Ian이 제공한 도서 추천 요약 + Claude의 서지사항 재검증(WebSearch),contextual,medium(서지사항은 독립확인, 목차상세는 사용자 제공 요약에 의존),확장 여부는 헌장 비목표(DOE 등 Phase2/3 제외) 변경이 필요한 사안이므로 이 근거만으로 범위를 바꾸지 않음 — Ian의 명시적 결정 필요,Claude(Cowork),2026-09-10
CLM-41,"Weibull 형상모수(β)가 1보다 크면 마모성 고장(예방정비 적합), 1이면 우발고장(일정한 고장률, 예방정비 효과 없음·run-to-failure 적합), 1보다 작으면 초기고장(불량품 조기이탈)을 의미하며, 이 판정이 예방정비 적용 여부 자체를 결정한다",G10 신뢰성 패키지 — 형상모수 기반 정비전략 결정표 설계,supported(실무사례),SRC-147,"Machine Design, Weibull 실무 기고문",supports,"medium(실무 사례 기반, 동료심사 학술자료는 아님)",이 판정 로직은 '예방정비 적합 여부'라는 이진 분기의 핵심 근거이므로 M-RELY-STRATEGY 모듈의 결정표에 직접 반영 — 단 β 추정 자체의 불확실성(표본수 부족 시)은 별도 경고 필요,Claude(Cowork),2026-09-10
CLM-42,"Weibull 파라미터 추정 시 고장난 부품뿐 아니라 아직 고장나지 않은(중도절단/suspension) 부품 데이터도 함께 포함해야 하며, 중도절단 데이터 비중이 클 때는 순위회귀(Rank Regression) 대신 최대우도추정(MLE)을 사용하는 것이 일반적이다",G10 — 신뢰성 데이터 입력요구사항 및 파라미터 추정 모듈 설계,supported(실무사례),SRC-147,"Machine Design, Weibull 실무 기고문",supports,medium,이 원칙을 놓치면 아직 고장나지 않은 부품을 무시하고 편향된(과소평가된) 수명 추정치를 낼 위험 — M-RELY-WEIBULLFIT 모듈의 입력요구사항에 '중도절단 데이터 포함 여부' 필드를 필수로 반영,Claude(Cowork),2026-09-10
CLM-43,"Weibull 신뢰도함수는 R(t)=e^(-((t-δ)/η)^β) 형태이며, 척도모수(η)는 약 63%가 고장에 이르는 특성수명(characteristic life)을 나타낸다",G10 — 신뢰도함수·특성수명 계산 모듈(M-RELY-RELFUNC) 근거,supported(공식 기술자료),SRC-149,"Ellistat, Weibull 신뢰성 기술문서",supports,"medium(벤더 기술자료, 학술 동료심사 아님이나 공식 자체는 신뢰성공학 표준 정의와 일치)",이 자료는 MTBF 유도·중도절단 처리를 다루지 않으므로 CLM-42·CLM-44와 조합해서만 완결된 설계 근거가 됨,Claude(Cowork),2026-09-10
CLM-44,"Weibull 분포의 평균수명(MTBF/MTTF)은 μ=η×Γ(1+1/β) (Γ는 감마함수)로 계산되며, β=1일 때만 η=MTBF가 성립하고 β가 1에서 멀어질수록 두 값의 차이가 커지므로 MTBF 단일값만 제시하는 것은 시간에 따라 변하는 고장률 정보를 감춘다는 한계가 있다",G10 — MTBF 산출 모듈(M-RELY-MTBF) 근거 및 해석 템플릿의 경고문구 설계,supported(실무 신뢰성엔지니어 기고),SRC-150,"nomtbf.com, MTBF from Weibull",supports,medium,이 근거는 '왜 MTBF 단일값 대신 신뢰도함수 전체를 보여줘야 하는가'라는 해석 템플릿 설계원칙(GAP-09 방법론과 정합)을 뒷받침 — 해석 템플릿에 MTBF와 함께 β값 기반 경고를 항상 병기하도록 반영,Claude(Cowork),2026-09-10
CLM-45,"안전재고 계산법은 난이도·정확도가 다른 스펙트럼(경험적 고정일수 방식→최대치 기반 방식→정규분포·서비스수준(Z-score) 기반 4가지 방식)으로 나뉘며, 수요와 리드타임의 변동성 데이터 가용성에 따라 적합한 방법이 달라진다 — 실무에서는 정규분포 기반 방식(수요 변동성만 반영, 또는 수요+리드타임 변동성 독립 반영)이 우선 권장된다",G11 — 안전재고 패키지 방법 선택 결정표 설계,supported(실무 공급망 컨설팅자료),SRC-151,"ABC Supply Chain, Safety Stock 6 methods",supports,"medium(실무 컨설팅 자료, 학술 동료심사 아님) — 그러나 서비스수준 기반 공식 자체는 재고관리 교과서의 표준 공식과 일치",이 근거로 M-INVENTORY-SAFETYSTOCK 모듈에 4~6개 계산방식 중 데이터 가용성에 따라 자동 선택하는 결정표를 설계 가능 — 도메인 자체가 품질통계와 다르므로(재고관리) 모듈 카탈로그에 신규 카테고리(§2.9)로 분리,Claude(Cowork),2026-09-10
CLM-46,"재주문점(Reorder Point)은 '리드타임 동안의 평균 수요 + 안전재고'로 계산되며, 안전재고는 수요·공급 불확실성에 대한 완충재 역할을 하는 별개의 구성요소다",G11 — 재주문점 산출 모듈(M-INVENTORY-REORDERPOINT) 근거,"supported(통설 수준, 위키백과 교차검증)",SRC-152,"Wikipedia, Reorder point",supports,low-medium(위키백과는 교차검증용 보조자료이며 1차 학술출처는 아님 — 다만 이 공식 자체는 재고관리 분야에서 이견이 없는 표준 정의),안전재고 모듈(M-INVENTORY-SAFETYSTOCK) 출력값을 그대로 입력받아 재주문점을 산출하는 후속 모듈로 설계 — 단독으로는 사용되지 않고 항상 안전재고 모듈 뒤에 이어지는 체이닝 구조,Claude(Cowork),2026-09-10
